month,incidents
2006-01,36
2006-02,36
2006-03,44
2006-04,23
2006-05,29
2006-06,37
2006-07,21
2006-08,45
2006-09,25
2006-10,33
2006-11,33
2006-12,30
2007-01,55
2007-02,37
2007-03,36
2007-04,44
2007-05,36
2007-06,41
2007-07,36
2007-08,26
2007-09,36
2007-10,41
2007-11,33
2007-12,45
2008-01,52
2008-02,46
2008-03,47
2008-04,41
2008-05,32
2008-06,35
2008-07,45
2008-08,44
2008-09,40
2008-10,37
2008-11,33
2008-12,72
2009-01,52
2009-02,46
2009-03,53
2009-04,53
2009-05,35
2009-06,30
2009-07,31
2009-08,38
2009-09,29
2009-10,34
2009-11,34
2009-12,52
2010-01,56
2010-02,47
2010-03,56
2010-04,41
2010-05,40
2010-06,58
2010-07,51
2010-08,51
2010-09,60
2010-10,54
2010-11,64
2010-12,75
2011-01,100
2011-02,89
2011-03,110
2011-04,134
2011-05,118
2011-06,77
2011-07,90
2011-08,67
2011-09,88
2011-10,93
2011-11,111
2011-12,137
2012-01,119
2012-02,80
2012-03,97
2012-04,109
2012-05,95
2012-06,110
2012-07,99
2012-08,132
2012-09,100
2012-10,110
2012-11,142
2012-12,149
2013-01,185
2013-02,151
2013-03,141
2013-04,142
2013-05,127
2013-06,153
2013-07,142
2013-08,147
2013-09,124
2013-10,140
2013-11,178
2013-12,235
2014-01,265
2014-02,265
2014-03,223
2014-04,163
2014-05,145
2014-06,161
2014-07,183
2014-08,155
2014-09,163
2014-10,24
