month,incidents
1975-01,4
1975-02,7
1975-03,11
1975-04,9
1975-05,6
1975-06,12
1975-07,6
1975-08,4
1975-09,10
1975-10,9
1975-11,6
1975-12,10
1976-01,6
1976-02,6
1976-03,5
1976-04,10
1976-05,8
1976-06,6
1976-07,5
1976-08,6
1976-09,4
1976-10,3
1976-11,2
1976-12,6
1977-01,3
1977-02,7
1977-03,9
1977-04,3
1977-05,8
1977-06,6
1977-07,6
1977-08,3
1977-09,2
1977-10,1
1977-11,4
1977-12,2
1978-01,5
1978-02,6
1978-03,5
1978-04,4
1978-05,5
1978-06,3
1978-07,3
1978-08,3
1978-09,1
1978-10,4
1978-11,1
1978-12,0
1979-01,1
1979-02,0
1979-03,7
1979-04,4
1979-05,6
1979-06,3
1979-07,1
1979-08,2
1979-09,0
1979-10,1
1979-12,1
1980-01,1
1980-02,0
1980-03,5
1980-04,1
1980-05,2
1980-07,1
1980-08,3
1980-09,8
1980-10,7
1980-11,4
1980-12,3
1981-01,4
1981-02,7
1981-03,5
1981-04,2
1981-05,3
1981-06,3
1981-07,4
1981-08,5
1981-09,2
1981-10,1
1981-11,2
1981-12,7
1982-01,6
1982-02,8
1982-03,5
1982-04,7
1982-05,7
1982-06,7
1982-07,4
1982-08,10
1982-09,3
1982-10,6
1982-11,12
1982-12,9
1983-01,13
1983-02,5
1983-03,9
1983-04,8
1983-05,5
1983-06,5
1983-07,7
1983-08,2
1983-09,5
1983-10,8
1983-11,5
1983-12,15
1984-01,13
1984-02,13
1984-03,8
1984-04,2
1984-05,3
1984-06,7
1984-07,4
1984-08,3
1984-09,8
1984-10,7
1984-11,6
1984-12,5
1985-01,6
1985-02,6
1985-03,1
1985-04,7
1985-05,3
1985-06,5
1985-07,2
1985-08,2
1985-09,7
1985-10,4
1985-11,5
1985-12,6
1986-01,4
1986-02,3
1986-03,4
1986-04,7
1986-05,2
1986-06,2
1986-07,2
1986-08,2
1986-09,2
1986-10,3
1986-11,4
1986-12,5
1987-01,12
1987-02,3
1987-03,7
1987-04,1
1987-05,3
1987-06,1
1987-07,3
1987-08,2
1987-09,0
1987-10,0
1987-11,1
1987-12,1
1988-01,2
1988-02,9
1988-03,10
1988-04,4
1988-05,7
1988-06,4
1988-07,5
1988-08,2
1988-09,0
1988-10,3
1988-11,3
1988-12,4
1989-01,2
1989-02,2
1989-03,5
1989-04,6
1989-05,2
1989-06,2
1989-07,2
1989-08,3
1989-09,0
1989-10,1
1989-11,2
1989-12,7
1990-01,7
1990-02,5
1990-03,1
1990-04,2
1990-05,3
1990-06,10
1990-07,6
1990-08,5
1990-09,4
1990-10,4
1990-11,2
1990-12,6
1991-01,17
1991-02,12
1991-03,5
1991-04,2
1991-05,5
1991-06,1
1991-07,3
1991-08,4
1991-09,4
1991-10,6
1991-11,2
1991-12,6
1992-01,1
1992-02,7
1992-03,8
1992-04,7
1992-05,2
1992-06,3
1992-07,9
1992-08,8
1992-09,6
1992-10,9
1992-11,11
1992-12,12
1993-01,12
1993-02,10
1993-03,16
1993-04,9
1993-05,9
1993-06,2
1993-07,6
1993-08,7
1993-09,4
1993-10,7
1993-11,10
1993-12,10
1994-01,26
1994-02,12
1994-03,18
1994-04,14
1994-05,19
1994-06,23
1994-07,6
1994-08,16
1994-09,21
1994-10,7
1994-11,4
1994-12,12
1995-01,6
1995-02,12
1995-03,10
1995-04,12
1995-05,18
1995-06,10
1995-07,16
1995-08,16
1995-09,9
1995-10,5
1995-11,6
1995-12,13
1996-01,9
1996-02,10
1996-03,11
1996-04,15
1996-05,5
1996-06,8
1996-07,6
1996-08,4
1996-09,7
1996-10,9
1996-11,3
1996-12,9
1997-01,9
1997-02,5
1997-03,0
1997-04,3
1997-05,9
1997-06,0
1997-07,2
1997-08,5
1997-09,3
1997-10,9
1997-11,4
1997-12,3
1998-01,11
1998-02,3
1998-03,0
1998-04,0
1998-05,0
1998-06,0
1998-07,0
1998-08,0
1998-09,0
1998-10,0
1998-11,0
1998-12,0
1999-01,0
1999-02,0
1999-03,0
1999-04,1
1999-05,0
1999-06,7
1999-07,5
1999-08,3
1999-09,2
1999-10,2
1999-11,2
1999-12,3
2000-01,6
2000-02,6
2000-03,9
2000-04,8
2000-05,8
2000-06,5
2000-07,2
2000-08,7
2000-09,2
2000-10,2
2000-11,3
2001-01,2
2001-02,2
2001-03,24
2001-04,17
2001-05,19
2001-06,23
2001-07,14
2001-08,20
2001-09,13
2001-10,8
2001-11,10
2001-12,9
2002-01,13
2002-02,11
2002-03,16
2002-04,28
2002-05,13
2002-06,15
2002-07,17
2002-08,22
2002-09,22
2002-10,12
2002-11,8
2002-12,5
2003-01,22
2003-02,18
2003-03,15
2003-04,19
2003-05,15
2003-06,14
2003-07,16
2003-08,14
2003-09,26
2003-10,15
2003-11,12
2003-12,35
2004-01,28
2004-02,25
2004-03,22
2004-04,20
2004-05,22
2004-06,27
2004-07,14
2004-08,17
2004-09,18
2004-10,14
