source	incident_id	incident_date	county	range	contained	company	incident_type	total_gallons	chem_gallons	water_gallons	oil	brine	other	water	note
g	EIR3210	2014-02-23	Renville	15908407	No	Strike Oil Inc	Valve	0	0	0	0	0	0	0	""
g	EIR2171	2014-01-08	McKenzie	15010118	No	N/A	Other	0	0	0	0	0	0	0	""
g	EIR2002	2013-07-30	Golden Valley	14210525	No	N/A	Other	0	0	0	0	0	0	0	""
g	EIR1944	2013-06-14	Stark	13909711	No	Dewey Jiras	Truck/Rail	0	0	0	0	0	0	0	""
g	EIR1831	2012-12-03	Mountrail	15709218	No	Schlehr Utility Construction Llc	Other	0	0	0	0	0	0	0	""
g	EIR1793	2012-04-10	Williams	15509529	No	Hess Corporation	Pipeline	0	0	0	0	0	0	0	""
g	EIR1778	2012-08-04	Burleigh	13807917	No	Dakota 5 Trucking	Truck/Rail	0	0	0	0	0	0	0	""
g	EIR1674	2012-05-05	Mountrail	15209217	No	Tjmd	Overflow	0	0	0	0	0	0	0	""
g	EIR1647	2012-03-23	McKenzie	15409321	No	Black Gold Energy	Truck/Rail	0	0	0	0	0	0	0	""
g	EIR1542	2011-10-10	Mountrail	15309112	No	Victor Bly	Truck/Rail	0	0	0	0	0	0	0	""
g	EIR1528	2011-09-22	Burke	15909324	No	Power Fuels	Other	0	0	0	0	0	0	0	""
g	EIR1520	2011-09-07	Cass	13904922	No	Pilot	Other	0	0	0	0	0	0	0	""
g	EIR1408	2011-04-12	Williams	15609708	No	Hess Corporation	Overflow	0	0	0	0	0	0	0	""
g	EIR1383	2011-03-26	McKenzie	15209402	No	N/A	Truck/Rail	0	0	0	0	0	0	0	""
g	EIR1365	2011-03-05	Renville	15908605	No	N/A	Truck/Rail	0	0	0	0	0	0	0	""
g	EIR1302	2010-10-01	Williams	15609532	No	Nexen Marketing	Overflow	0	0	0	0	0	0	0	""
g	EIR1209	2009-12-31	Williams	15609532	No	Rugged West Services	Overflow	0	0	0	0	0	0	0	""
g	EIR1189	2009-10-22	Williams	15609532	No	Rugged West Services	Overflow	0	0	0	0	0	0	0	""
g	EIR1125	2009-04-12	Dunn	14109614	No	N/A	Overflow	0	0	0	0	0	0	0	""
g	EIR967	2007-12-11	Williams	15609511	No	Murex	Fire	0	0	0	0	0	0	0	""
g	EIR882	2006-11-29	Cass	13904924	No	Tesoro	Other	0	0	0	0	0	0	0	""
g	EIR3378	2014-07-08	McKenzie	15009425	No	Arrow	Pipeline	0	0	0	0	0	0	0	""
g	EIR3345	2014-06-09	McKenzie	14909830	No	Great Northern	Other	0	0	0	0	0	0	0	""
g	EIR3342	2014-06-06	McKenzie	15009522	No	ConocoPhillips/Burlington Resources	Tank Leak	0	0	0	0	0	0	0	""
g	EIR3363	2014-06-06	Divide	16209934	No	Frick And Frack Trucking	Other	0	0	0	0	0	0	0	""
g	EIR3315	2013-10-01	Dunn	14509524	No	N/A	Truck/Rail	0	0	0	0	0	0	0	""
o	20140323003108	2014-03-22	MOUNTRAIL	15609432	Yes	Hess Corporation	Fire	0	0	0	0	0	0	0	""
o	20140321160044	2014-03-21	DUNN	14609431	Yes	Marathon Oil	Fire	0	0	0	0	0	0	0	""
o	20140314095505	2014-03-13	BURKE	16209003	Yes	Williston Hunter	Pipeline	0	0	0	0	0	0	0	""
o	20140308092410	2014-03-08	MOUNTRAIL	12906001	Yes	Oasis Petroleum	Valve	0	0	0	0	0	0	0	""
o	20140307161637	2014-03-07	MCKENZIE	15109902	Yes	Continental Resources	Fire	0	0	0	0	0	0	0	""
o	20140306213241	2014-03-06	DUNN	14309623	Yes	Oxy	Fire	0	0	0	0	0	0	0	""
o	20140306162248	2014-03-06	MCKENZIE	14909814	Yes	Newfield Production Company	Fire	0	0	0	0	0	0	0	""
o	20140303132024	2014-03-01	WILLIAMS	15609531	Yes	Ameritest	Fire	0	0	0	0	0	0	0	""
o	20140221150509	2014-02-21	MOUNTRAIL	15009302	Yes	Marathon Oil	Fire	0	0	0	0	0	0	0	""
o	20140221153604	2014-02-21	BILLINGS	14309802	Yes	BTA Oil	Other	0	0	0	0	0	0	0	""
o	20140219114343	2014-02-18	MCKENZIE	15309526	Yes	Hess Corporation	Pipeline	0	0	0	0	0	0	0	""
o	20140218171125	2014-02-18	BURKE	16209222	Yes	Oneok	Pipeline	0	0	0	0	0	0	0	""
o	20140211115915	2014-02-10	WILLIAMS	15609531	Yes	Hiland Partners	Pipeline	0	0	0	0	0	0	0	""
o	20140210161356	2014-02-09	DUNN	14309729	Yes	Oxy	Fire	0	0	0	0	0	0	0	""
o	20140210105200	2014-01-10	WILLIAMS	15409818	Yes	Oneok	Pipeline	0	0	0	0	0	0	0	""
o	20140204170955	2014-01-24	MCKENZIE	15310130	Yes	Citation Oil & Gas	Pipeline	0	0	0	0	0	0	0	""
o	20140129105245	2014-01-27	DUNN	14709712	Yes	Hess Corporation	Fire	0	0	0	0	0	0	0	""
o	20140119160140	2014-01-18	MCKENZIE	15109836	Yes	ExxonMobil/XTO	Fire	0	0	0	0	0	0	0	""
o	20140112163049	2014-01-11	MCKENZIE	15209320	Yes	Marathon Oil	Fire	0	0	0	0	0	0	0	""
o	20131211121110	2013-12-10	STARK	13909714	Yes	Denbury Onshore	Fire	0	0	0	0	0	0	0	""
o	20131209102440	2013-12-08	MCKENZIE	15009621	Yes	Landtech Enterprises	Fire	0	0	0	0	0	0	0	""
o	20131110112402	2013-11-10	MCKENZIE	15209414	Yes	HRC Operating	Fire	0	0	0	0	0	0	0	""
o	20131102100422	2013-11-01	DUNN	14809425	Yes	HRC Operating	Fire	0	0	0	0	0	0	0	""
o	20131029100901	2013-10-28	MOUNTRAIL	15709127	Yes	Hess Corporation	Fire	0	0	0	0	0	0	0	""
o	20131028145020	2013-10-24	DUNN	14409628	Yes	Oxy	Pipeline	0	0	0	0	0	0	0	""
o	20131022101154	2013-10-20	WILLIAMS	15410006	Yes	Triangle Usa Petroleum Corporation	Fire	0	0	0	0	0	0	0	""
o	20130916085759	2013-09-16	MCKENZIE	15209603	Yes	Hess Corporation	Pipeline	0	0	0	0	0	0	0	""
o	20130913095248	2013-09-12	MCKENZIE	15109520	Yes	Hess Corporation	Pipeline	0	0	0	0	0	0	0	""
o	20130829121724	2013-08-28	MCKENZIE	15209414	Yes	HRC Operating	Fire	0	0	0	0	0	0	0	""
o	20130828150050	2013-08-24	MOUNTRAIL	15009302	Yes	Marathon Oil	Fire	0	0	0	0	0	0	0	""
o	20130904124816	2013-08-27	MCKENZIE	15109508	Yes	Hess Corporation	Pipeline	0	0	0	0	0	0	0	""
o	20130824130509	2013-08-24	STARK	14009717	Yes	Whiting Oil & Gas	Fire	0	0	0	0	0	0	0	""
o	20130813135853	2013-08-12	MCKENZIE	15209317	Yes	HRC Operating	Fire	0	0	0	0	0	0	0	""
o	20130806154108	2013-08-01	MCKENZIE	15409534	Yes	Hess Corporation	Pipeline	0	0	0	0	0	0	0	""
o	20130802125043	2013-08-01	DUNN	14509601	Yes	Continental Resources	Fire	0	0	0	0	0	0	0	""
o	20130620115400	2013-06-20	STARK	13909618	Yes	Denbury Onshore	Fire	0	0	0	0	0	0	0	""
o	20130510165108	2013-05-10	BURKE	16209008	Yes	Williston Hunter	Fire	0	0	0	0	0	0	0	""
o	20130424190407	2013-04-23	WILLIAMS	15709924	Yes	Baytex	Fire	0	0	0	0	0	0	0	""
o	20130401143309	2013-03-28	DUNN	14509515	Yes	Continental Resources	Fire	0	0	0	0	0	0	0	""
o	20140304092730	2014-03-03	MOUNTRAIL	15709203	No	Oasis Petroleum	Stuffing Box	0	0	0	0	0	0	0	""
o	20140218105457	2014-02-16	BURKE	15909408	No	Condor Petroleum	Fire	0	0	0	0	0	0	0	""
o	20140217161806	2014-02-17	DIVIDE	16009707	No	Continental Resources	Other	0	0	0	0	0	0	0	""
o	20140214172804	2014-02-14	DUNN	14509612	No	ConocoPhillips/Burlington Resources	Fire	0	0	0	0	0	0	0	""
o	20140201150018	2014-01-31	WILLIAMS	15510005	No	Oneok	Pipeline	0	0	0	0	0	0	0	""
o	20140131205710	2014-01-31	WILLIAMS	15510005	No	Oneok	Valve	0	0	0	0	0	0	0	""
o	20140129155152	2014-01-27	MOUNTRAIL	15609124	No	Hess Corporation	Fire	0	0	0	0	0	0	0	""
o	20140126170500	2014-01-26	BOWMAN	13010414	No	Continental Resources	Treater	0	0	0	0	0	0	0	""
o	20140125134538	2014-01-24	MCKENZIE	15309715	No	ConocoPhillips/Burlington Resources	Fire	0	0	0	0	0	0	0	""
o	20140120181619	2014-01-20	DUNN	14809205	No	Arrow	Valve	0	0	0	0	0	0	0	""
o	20140117105110	2014-01-16	MCKENZIE	15009918	No	Newfield Production Company	Fire	0	0	0	0	0	0	0	""
o	20140117180419	2014-01-17	BURKE	15909125	No	Summit	Valve	0	0	0	0	0	0	0	""
o	20140110152958	2014-01-09	MCKENZIE	15210118	No	Tervita	Fire	0	0	0	0	0	0	0	""
o	20131205150209	2013-12-05	MCKENZIE	15210124	No	Oasis Petroleum	Truck/Rail	0	0	0	0	0	0	0	""
o	20131204153333	2013-12-03	MCKENZIE	15009735	No	Abraxas Petroleum Corp.	Fire	0	0	0	0	0	0	0	""
o	20131121083947	2013-11-20	DUNN	14909301	No	WPX	Fire	0	0	0	0	0	0	0	""
o	20131109094054	2013-11-08	MCKENZIE	15209415	No	HRC Operating	Fire	0	0	0	0	0	0	0	""
o	20131015125745	2013-10-10	DUNN	14709625	No	Continental Resources	Fire	0	0	0	0	0	0	0	""
o	20130930123041	2013-09-29	WILLIAMS	15509822	No	Continental Resources	Fire	0	0	0	0	0	0	0	""
o	20130918113235	2013-09-14	BOWMAN	13110527	No	Denbury Onshore	Fire	0	0	0	0	0	0	0	""
o	20131010085522	2013-09-18	DUNN	14809720	No	Newfield Production Company	Other	0	0	0	0	0	0	0	""
o	20130916082016	2013-09-14	MOUNTRAIL	15809006	No	EOG Resources	Tank Leak	0	0	0	0	0	0	0	""
o	20130909113533	2013-09-06	MORTON	13908115	No	Tesoro	Pipeline	0	0	0	0	0	0	0	""
o	20130907100252	2013-09-06	WILLIAMS	15509524	No	ExxonMobil/XTO	Fire	0	0	0	0	0	0	0	""
o	20130904141047	2013-09-03	DUNN	14709622	No	Continental Resources	Fire	0	0	0	0	0	0	0	""
o	20130814114246	2013-08-09	BOTTINEAU	16308221	No	Murex	Valve	0	0	0	0	0	0	0	"There is no volume reported for this large spill, which required 600 dump-truck loads of contaminated soil to be removed."
o	20130731120711	2013-07-29	MCKENZIE	15109506	No	Mbi	Other	0	0	0	0	0	0	0	""
o	20130716143858	2013-07-16	MCKENZIE	15010206	No	Petro-Hunt	Other	0	0	0	0	0	0	0	""
o	20130530134541	2013-05-29	MCKENZIE	14810512	No	ExxonMobil/XTO	Fire	0	0	0	0	0	0	0	""
o	20130528093827	2013-05-25	MCKENZIE	14909702	No	Abraxas Petroleum Corp.	Fire	0	0	0	0	0	0	0	""
o	20130517102241	2013-05-16	BURKE	15909033	No	EOG Resources	Pipeline	0	0	0	0	0	0	0	"This appears to be a significant spill but no volume is reported."
o	20130514154747	2013-05-10	MCKENZIE	15210019	No	Oasis Petroleum	Treater	0	0	0	0	0	0	0	""
o	20130510155410	2013-05-08	WILLIAMS	15510414	No	Continental Resources	Other	0	0	0	0	0	0	0	""
o	20130508152326	2013-05-03	MOUNTRAIL	15209215	No	WPX	Fire	0	0	0	0	0	0	0	""
o	20130503102329	2013-04-27	WILLIAMS	15509812	No	Continental Resources	Fire	0	0	0	0	0	0	0	""
o	20130503104230	2013-05-02	DIVIDE	16009711	No	Continental Resources	Fire	0	0	0	0	0	0	0	""
o	20130425234459	2013-04-25	DUNN	14809434	No	HRC Operating	Fire	0	0	0	0	0	0	0	""
o	20130517102856	2013-03-02	WILLIAMS	15809509	Yes	Abraxas Petroleum Corp.	Fire	0	0	0	0	0	0	0	""
o	20121207111750	2012-12-06	MCKENZIE	15009930	No	Hess Corporation	Fire	0	0	0	0	0	0	0	""
o	20121205135818	2012-12-04	WILLIAMS	15310223	Yes	Ulmer Energy, Llc	Valve	0	0	0	0	0	0	0	""
o	20121203184955	2012-12-02	MOUNTRAIL	15709218	Yes	Oasis Petroleum	Pipeline	0	0	0	0	0	0	0	""
o	20130317124352	2013-03-16	BOTTINEAU	16307924	Yes	HRC Operating	Fire	0	0	0	0	0	0	0	""
o	20130608163942	2013-03-15	MCKENZIE	15109907	Yes	Redemption Energy, Llc	Other	0	0	0	0	0	0	0	""
o	20130220102917	2013-02-20	MCKENZIE	14909431	Yes	Enerplus Resources	Fire	0	0	0	0	0	0	0	""
o	20130208105336	2013-02-08	BOWMAN	13010433	Yes	Continental Resources	Fire	0	0	0	0	0	0	0	""
o	20130207143250	2013-02-06	WILLIAMS	15609912	Yes	Continental Resources	Fire	0	0	0	0	0	0	0	""
o	20130204182357	2013-02-03	DIVIDE	16210015	Yes	Baytex	Fire	0	0	0	0	0	0	0	""
o	20130201121954	2013-02-01	DUNN	14709401	Yes	Petro-Hunt	Valve	0	0	0	0	0	0	0	""
o	20130122162014	2013-01-22	MCKENZIE	15010121	Yes	Triangle Usa Petroleum Corporation	Valve	0	0	0	0	0	0	0	""
o	20130111093531	2012-11-07	MCKENZIE	15010114	No	Borejaks Energy Services	Fire	0	0	0	0	0	0	0	""
o	20130104105955	2013-01-03	WILLIAMS	15510105	Yes	Encore Energy	Fire	0	0	0	0	0	0	0	""
o	20121112110821	2012-11-12	MCKENZIE	15209530	Yes	Hess Corporation	Pipeline	0	0	0	0	0	0	0	""
o	20121108152112	2012-11-07	DUNN	14709626	Yes	Continental Resources	Fire	0	0	0	0	0	0	0	""
o	20121112153700	2012-11-07	DUNN	14809406	Yes	WPX	Other	0	0	0	0	0	0	0	""
o	20121031161858	2012-10-31	WILLIAMS	15709529	Yes	Ranch Oil Company	Truck/Rail	0	0	0	0	0	0	0	""
o	20121016081615	2012-10-12	MCKENZIE	15110028	Yes	Zavanna	Valve	0	0	0	0	0	0	0	""
o	20121003110620	2012-09-26	BOTTINEAU	16308326	No	Zargon Oil	Fire	0	0	0	0	0	0	0	""
o	20121002095043	2012-06-14	MCKENZIE	15309620	No	N/A	Other	0	0	0	0	0	0	0	""
o	20120927121951	2012-09-23	BOWMAN	13010417	No	Continental Resources	Fire	0	0	0	0	0	0	0	""
o	20120921105210	2012-09-14	MCKENZIE	15009614	Yes	Drd Saltwater Disposal, Llc	Fire	0	0	0	0	0	0	0	""
o	20120901152323	2012-08-31	WILLIAMS	15610008	Yes	Liberty Resources	Fire	0	0	0	0	0	0	0	""
o	20120829152914	2012-08-29	WILLIAMS	15809534	Yes	Murex	Other	0	0	0	0	0	0	0	""
o	20120823125100	2012-08-22	MCKENZIE	15110020	Yes	Statoil	Fire	0	0	0	0	0	0	0	""
o	20120820101559	2012-08-17	MCKENZIE	15009520	No	ExxonMobil/XTO	Fire	0	0	0	0	0	0	0	""
o	20120819223018	2012-08-18	WILLIAMS	15610008	Yes	Liberty Resources	Fire	0	0	0	0	0	0	0	""
o	20120815174624	2012-08-15	WILLIAMS	15509809	No	Continental Resources	Valve	0	0	0	0	0	0	0	""
o	20120808114109	2012-08-05	MCKENZIE	14909502	Yes	Helis Oil & Gas Company, L.L.C.	Fire	0	0	0	0	0	0	0	""
o	20120807194830	2012-08-06	MOUNTRAIL	15209002	No	EOG Resources	Pipeline	0	0	0	0	0	0	0	""
o	20120806164227	2012-08-06	MCKENZIE	15009505	Yes	Hess Corporation	Pipeline	0	0	0	0	0	0	0	""
o	20120731175054	2012-07-29	SLOPE	13310632	No	Continental Resources	Fire	0	0	0	0	0	0	0	""
