source,incident_id,incident_date,formated_date,county,range,contained,company,incident_type,total_gallons,chem_gallons,water_gallons,oil,brine,other,water,note
g,EIR3210,2/23/2014,2014-02,Renville,15908407,No,Strike Oil Inc,Valve,0,0,0,0,0,0,0,
g,EIR2171,1/8/2014,2014-01,McKenzie,15010118,No,N/A,Other,0,0,0,0,0,0,0,
g,EIR2002,7/30/2013,2013-07,Golden Valley,14210525,No,N/A,Other,0,0,0,0,0,0,0,
g,EIR1944,6/14/2013,2013-06,Stark,13909711,No,Dewey Jiras,Truck/Rail,0,0,0,0,0,0,0,
g,EIR1831,12/3/2012,2012-12,Mountrail,15709218,No,Schlehr Utility Construction Llc,Other,0,0,0,0,0,0,0,
g,EIR1793,4/10/2012,2012-04,Williams,15509529,No,Hess Corporation,Pipeline,0,0,0,0,0,0,0,
g,EIR1778,8/4/2012,2012-08,Burleigh,13807917,No,Dakota 5 Trucking,Truck/Rail,0,0,0,0,0,0,0,
g,EIR1674,5/5/2012,2012-05,Mountrail,15209217,No,Tjmd,Overflow,0,0,0,0,0,0,0,
g,EIR1647,3/23/2012,2012-03,McKenzie,15409321,No,Black Gold Energy,Truck/Rail,0,0,0,0,0,0,0,
g,EIR1542,10/10/2011,2011-10,Mountrail,15309112,No,Victor Bly,Truck/Rail,0,0,0,0,0,0,0,
g,EIR1528,9/22/2011,2011-09,Burke,15909324,No,Power Fuels,Other,0,0,0,0,0,0,0,
g,EIR1520,9/7/2011,2011-09,Cass,13904922,No,Pilot,Other,0,0,0,0,0,0,0,
g,EIR1408,4/12/2011,2011-04,Williams,15609708,No,Hess Corporation,Overflow,0,0,0,0,0,0,0,
g,EIR1383,3/26/2011,2011-03,McKenzie,15209402,No,N/A,Truck/Rail,0,0,0,0,0,0,0,
g,EIR1365,3/5/2011,2011-03,Renville,15908605,No,N/A,Truck/Rail,0,0,0,0,0,0,0,
g,EIR1302,10/1/2010,2010-10,Williams,15609532,No,Nexen Marketing,Overflow,0,0,0,0,0,0,0,
g,EIR1209,12/31/2009,2009-12,Williams,15609532,No,Rugged West Services,Overflow,0,0,0,0,0,0,0,
g,EIR1189,10/22/2009,2009-10,Williams,15609532,No,Rugged West Services,Overflow,0,0,0,0,0,0,0,
g,EIR1125,4/12/2009,2009-04,Dunn,14109614,No,N/A,Overflow,0,0,0,0,0,0,0,
g,EIR967,12/11/2007,2007-12,Williams,15609511,No,Murex,Fire,0,0,0,0,0,0,0,
g,EIR882,11/29/2006,2006-11,Cass,13904924,No,Tesoro,Other,0,0,0,0,0,0,0,
g,EIR3378,7/8/2014,2014-07,McKenzie,15009425,No,Arrow,Pipeline,0,0,0,0,0,0,0,
g,EIR3345,6/9/2014,2014-06,McKenzie,14909830,No,Great Northern,Other,0,0,0,0,0,0,0,
g,EIR3342,6/6/2014,2014-06,McKenzie,15009522,No,ConocoPhillips/Burlington Resources,Tank Leak,0,0,0,0,0,0,0,
g,EIR3363,6/6/2014,2014-06,Divide,16209934,No,Frick And Frack Trucking,Other,0,0,0,0,0,0,0,
g,EIR3315,10/1/2013,2013-10,Dunn,14509524,No,N/A,Truck/Rail,0,0,0,0,0,0,0,
o,2.01403E+13,3/22/2014,2014-03,MOUNTRAIL,15609432,Yes,Hess Corporation,Fire,0,0,0,0,0,0,0,
o,2.01403E+13,3/21/2014,2014-03,DUNN,14609431,Yes,Marathon Oil,Fire,0,0,0,0,0,0,0,
o,2.01403E+13,3/13/2014,2014-03,BURKE,16209003,Yes,Williston Hunter,Pipeline,0,0,0,0,0,0,0,
o,2.01403E+13,3/8/2014,2014-03,MOUNTRAIL,12906001,Yes,Oasis Petroleum,Valve,0,0,0,0,0,0,0,
o,2.01403E+13,3/7/2014,2014-03,MCKENZIE,15109902,Yes,Continental Resources,Fire,0,0,0,0,0,0,0,
o,2.01403E+13,3/6/2014,2014-03,DUNN,14309623,Yes,Oxy,Fire,0,0,0,0,0,0,0,
o,2.01403E+13,3/6/2014,2014-03,MCKENZIE,14909814,Yes,Newfield Production Company,Fire,0,0,0,0,0,0,0,
o,2.01403E+13,3/1/2014,2014-03,WILLIAMS,15609531,Yes,Ameritest,Fire,0,0,0,0,0,0,0,
o,2.01402E+13,2/21/2014,2014-02,MOUNTRAIL,15009302,Yes,Marathon Oil,Fire,0,0,0,0,0,0,0,
o,2.01402E+13,2/21/2014,2014-02,BILLINGS,14309802,Yes,BTA Oil,Other,0,0,0,0,0,0,0,
o,2.01402E+13,2/18/2014,2014-02,MCKENZIE,15309526,Yes,Hess Corporation,Pipeline,0,0,0,0,0,0,0,
o,2.01402E+13,2/18/2014,2014-02,BURKE,16209222,Yes,Oneok,Pipeline,0,0,0,0,0,0,0,
o,2.01402E+13,2/10/2014,2014-02,WILLIAMS,15609531,Yes,Hiland Partners,Pipeline,0,0,0,0,0,0,0,
o,2.01402E+13,2/9/2014,2014-02,DUNN,14309729,Yes,Oxy,Fire,0,0,0,0,0,0,0,
o,2.01402E+13,1/10/2014,2014-01,WILLIAMS,15409818,Yes,Oneok,Pipeline,0,0,0,0,0,0,0,
o,2.01402E+13,1/24/2014,2014-01,MCKENZIE,15310130,Yes,Citation Oil & Gas,Pipeline,0,0,0,0,0,0,0,
o,2.01401E+13,1/27/2014,2014-01,DUNN,14709712,Yes,Hess Corporation,Fire,0,0,0,0,0,0,0,
o,2.01401E+13,1/18/2014,2014-01,MCKENZIE,15109836,Yes,ExxonMobil/XTO,Fire,0,0,0,0,0,0,0,
o,2.01401E+13,1/11/2014,2014-01,MCKENZIE,15209320,Yes,Marathon Oil,Fire,0,0,0,0,0,0,0,
o,2.01312E+13,12/10/2013,2013-12,STARK,13909714,Yes,Denbury Onshore,Fire,0,0,0,0,0,0,0,
o,2.01312E+13,12/8/2013,2013-12,MCKENZIE,15009621,Yes,Landtech Enterprises,Fire,0,0,0,0,0,0,0,
o,2.01311E+13,11/10/2013,2013-11,MCKENZIE,15209414,Yes,HRC Operating,Fire,0,0,0,0,0,0,0,
o,2.01311E+13,11/1/2013,2013-11,DUNN,14809425,Yes,HRC Operating,Fire,0,0,0,0,0,0,0,
o,2.0131E+13,10/28/2013,2013-10,MOUNTRAIL,15709127,Yes,Hess Corporation,Fire,0,0,0,0,0,0,0,
